table_num,TABLE_NAME,category_num,year,Units,value_added,imports,total,CATEGORY_DESC
2,Food at home dollar,14,6/15/05,million 2009 dollars,0,0,262493.71,Total food dollar
2,Food at home dollar,15,6/15/05,million 2009 dollars,0,0,250220.45,Domestic food dollar
2,Food at home dollar,16,6/15/05,million 2009 dollars,0,0,60393.84,Farm share
3,Food away from home dollar,1,6/15/05,million 2009 dollars,154632.88,5055.15,162116.98,Total
3,Food away from home dollar,2,6/15/05,million 2009 dollars,3283.28,421.86,3720.25,Agribusiness
3,Food away from home dollar,3,6/15/05,million 2009 dollars,10562.76,1084.03,11621.07,Farm production
3,Food away from home dollar,4,6/15/05,million 2009 dollars,16630.93,799.96,17497.01,Food processing
3,Food away from home dollar,5,6/15/05,million 2009 dollars,4734.8,965.04,5766.54,Packaging
3,Food away from home dollar,6,6/15/05,million 2009 dollars,3818.06,226.75,4005.79,Transportation
3,Food away from home dollar,7,6/15/05,million 2009 dollars,14367.2,-180.49,14179.08,Wholesale trade
3,Food away from home dollar,8,6/15/05,million 2009 dollars,576.85,7.37,584.69,Retail trade
3,Food away from home dollar,9,6/15/05,million 2009 dollars,93869.35,1014.86,91656.41,Foodservices
3,Food away from home dollar,10,6/15/05,million 2009 dollars,3724.48,371.91,4079.15,Energy
3,Food away from home dollar,11,6/15/05,million 2009 dollars,5750.3,106.83,5853.35,Finance & Insurance
3,Food away from home dollar,12,6/15/05,million 2009 dollars,4305.79,144.46,4455.4,Advertising
3,Food away from home dollar,13,6/15/05,million 2009 dollars,1448.18,21.71,1467.09,Legal & accounting
3,Food away from home dollar,14,6/15/05,million 2009 dollars,0,0,188930.09,Total food dollar
3,Food away from home dollar,15,6/15/05,million 2009 dollars,0,0,175226.07,Domestic food dollar
3,Food away from home dollar,16,6/15/05,million 2009 dollars,0,0,20508.51,Farm share
4,Food and beverage dollar,1,6/15/05,million 2009 dollars,460105.71,18780.82,485589.43,Total
4,Food and beverage dollar,2,6/15/05,million 2009 dollars,13465.35,1566.51,15062.55,Agribusiness
4,Food and beverage dollar,3,6/15/05,million 2009 dollars,42921.02,3590.52,46415.12,Farm production
4,Food and beverage dollar,4,6/15/05,million 2009 dollars,100699.61,5098.97,105392.26,Food processing
4,Food and beverage dollar,5,6/15/05,million 2009 dollars,19704.58,3987.8,24226.85,Packaging
4,Food and beverage dollar,6,6/15/05,million 2009 dollars,17709.37,959,18496.25,Transportation
4,Food and beverage dollar,7,6/15/05,million 2009 dollars,65595.07,-824.05,64736.21,Wholesale trade
4,Food and beverage dollar,8,6/15/05,million 2009 dollars,75979.58,970.86,77011.58,Retail trade
4,Food and beverage dollar,9,6/15/05,million 2009 dollars,99630.32,1112.31,97762.73,Foodservices
4,Food and beverage dollar,10,6/15/05,million 2009 dollars,10205.42,1266.5,11467.51,Energy
4,Food and beverage dollar,11,6/15/05,million 2009 dollars,18563.88,338.32,18894.66,Finance & Insurance
