YEAR,MONTH,SUPPLIER,ITEM CODE,ITEM DESCRIPTION,ITEM TYPE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
2017,6,THE EDRINGTON GROUP USA LLC,15970,BRUGAL RUM - ANEJO - 750ML,LIQUOR,13.70,3.00,0.00
2017,6,A VINTNERS SELECTIONS,159808,DANTE BARREL SEL CHARD - 750ML,WINE,0.00,0.00,5.00
2017,6,A VINTNERS SELECTIONS,159824,DANTE SP SEL CAB - 750ML,WINE,0.33,0.00,7.00
2017,6,A VINTNERS SELECTIONS,159832,DANTE SPEC SEL MER - 750ML,WINE,0.00,0.00,2.00
2017,6,E & J GALLO WINERY,15989,CARLO ROSSI SANGRIA - 4L,WINE,34.75,29.50,89.00
2017,6,BARON FRANCOIS LTD,160008,CHINON O/V RED DOM COLOM - 750ML,WINE,3.84,3.00,0.00
2017,6,RELIABLE CHURCHILL LLLP,160237,DOM THOMAS & FILS SAN CRELE - 750ML,WINE,1.23,0.00,3.00
2017,6,A VINTNERS SELECTIONS,160318,KEN FORRESTER PET P/TAGE - 750ML,WINE,4.05,5.00,2.00
2017,6,A VINTNERS SELECTIONS,160326,PEACHY CANYON ZIN INCRED RED - 750ML,WINE,0.00,0.00,2.00
2017,6,A VINTNERS SELECTIONS,160350,BODEGAS MUGA ROSADO - 750ML,WINE,1.46,1.00,0.83
2017,6,LANTERNA DISTRIBUTORS INC,160555,DOM DES HERBAUGES CHARD - 750ML,WINE,0.00,0.00,1.00
2017,6,JIM BEAM BRANDS CO,16063,MCCLELLAND'S SPEYSIDE - 750ML,LIQUOR,2.00,-0.08,0.00
2017,6,A VINTNERS SELECTIONS,160641,PEREZ CRUZ CAB - 750ML,WINE,0.08,0.00,0.00
2017,6,PERNOD RICARD USA LLC,16071,P JOUET GR BRUT NV 12/CS - 375ML,WINE,0.16,1.00,0.00
2017,6,DIONYSOS IMPORTS INC,160741,KOURTAKI RED - 1.5L,WINE,0.00,0.00,1.00
2017,6,PERNOD RICARD USA LLC,16080,MUMMS CORDON ROUGE BRUT - 375ML,WINE,0.08,0.00,0.00
2017,6,BACCHUS IMPORTERS LTD,160806,SUSANA BALBO CRIOS CAB - 750ML,WINE,0.00,0.00,1.00
2017,6,MONSIEUR TOUTON SELECTION,161519,CH DAMANSE BORD SUP - 750ML,WINE,0.65,0.00,1.00
2017,6,KYSELA PERE ET FILS LTD,161764,RINALDI MOSCATO D'ASTI - 750ML,WINE,0.65,0.00,0.00
2017,6,BACCHUS IMPORTERS LTD,161780,YALUMBA Y SERIES MER - 750ML,WINE,0.00,0.00,1.00
2017,6,SOUTHERN GLAZERS WINE AND SPIRITS,16195,SANTI P/GRIG SORTESELE - 750ML,WINE,1.55,-0.08,0.00
2017,6,PERNOD RICARD USA LLC,16209,WYNDHAM ESTATES BIN 555 SHZ - 750ML,WINE,4.03,7.00,0.00
2017,6,BRONCO WINE COMPANY,162094,CELLAR 8 MERLOT - 750ML,WINE,0.00,0.00,2.00
2017,6,RELIABLE CHURCHILL LLLP,16225,WILLEMETTE VLY W/CLSTER P/NOIR - 750ML,WINE,0.90,2.00,0.00
2017,6,YOUNG WON TRADING INC,162639,HAKUSHIKA JUNMAI GINJO 12/CS - 300ML,WINE,0.49,0.00,8.00
2017,6,YOUNG WON TRADING INC,162655,HAKUSHIKA CHOKARA X/DRY SAKE - 300ML,WINE,0.58,1.00,7.00
2017,6,SUTTER HOME WINERY INC,162680,JOEL GOTT S/BLC - 750ML,WINE,11.37,7.00,4.00
2017,6,CLIPPER CITY BREWING CO,1627,HEAVY SEAS POWDER MONKEY P/A 4/6 NR - 12OZ,BEER,12.75,12.00,30.00
2017,6,TRI-VIN IMPORTS,162744,BADIOLO CHIANTI RIS - 750ML,WINE,4.45,3.00,0.00
